,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Chishtian,33,PK,1584285427,49,29.8,72.87,65.41,6.89
374,Manadhoo,10,MV,1584285428,74,5.77,73.38,83.79,10.02
375,Inhambane,20,MZ,1584285430,58,-23.86,35.38,86.0,6.93
376,Nassau,40,US,1584285431,42,40.75,-73.58,46.99,13.87
377,Eenhana,48,NA,1584285432,48,-17.47,16.33,84.51,9.31
378,Douentza,100,ML,1584285433,6,15.0,-2.95,100.35,9.31
379,Tarauacá,100,BR,1584285434,59,-8.16,-70.77,87.57,3.8
380,Donauwörth,0,DE,1584285435,54,48.7,10.8,57.99,6.93
381,Dwārka,99,IN,1584285436,58,22.24,68.97,76.77,19.57
382,Poronaysk,34,RU,1584285437,84,49.22,143.12,17.91,7.49
383,Zemio,15,CF,1584285438,21,5.03,25.14,97.65,5.1
384,Mehamn,95,NO,1584285418,66,71.04,27.85,24.21,25.48
385,Tilichiki,100,RU,1584285441,95,60.47,166.1,9.81,5.5
386,Amos,40,CA,1584285442,77,48.57,-78.12,3.99,8.05
387,Lubango,75,AO,1584285443,72,-14.92,13.49,77.0,8.81
388,Shingū,28,JP,1584285444,64,33.73,135.98,51.21,26.64
389,Bukachacha,100,RU,1584285445,97,52.98,116.92,17.01,2.64
390,Anchorage,1,US,1584285171,71,61.22,-149.9,10.0,10.29
391,Hauterive,12,FR,1584285447,39,46.09,3.45,68.0,25.28
392,Ormara,100,PK,1584285448,69,25.21,64.64,73.51,3.47
393,Sobolevo,0,RU,1584285407,41,54.43,31.9,30.69,12.66
394,Dudinka,11,RU,1584285451,75,69.41,86.18,-13.0,11.18
395,Nizip,75,TR,1584285452,67,37.01,37.79,62.6,8.05
396,Camacha,20,PT,1584285453,55,33.08,-16.33,66.2,18.34
397,Santa Rosa,20,PH,1584285237,65,14.31,121.11,82.4,5.82
398,Kolpny,100,RU,1584285455,55,52.23,37.04,29.07,15.32
399,Auki,100,SB,1584285456,77,-8.77,160.7,83.61,8.23
400,Pringsewu,100,ID,1584285457,96,-5.36,104.97,73.35,2.19
401,Hobyo,56,SO,1584285458,72,5.35,48.53,82.35,12.82
402,Ukiah,90,US,1584285460,93,39.15,-123.21,45.0,3.36
403,Qian’an,0,CN,1584285304,65,44.99,124.06,19.51,3.69
404,Xining,100,CN,1584285462,92,36.62,101.77,28.35,6.42
405,Samfya,27,ZM,1584285463,77,-11.36,29.56,78.01,2.04
406,Laurel,90,US,1584285464,81,39.1,-76.85,45.0,3.36
407,Santo Tomas,20,PH,1584285465,69,14.11,121.14,82.4,6.93
408,Volgodonsk,52,RU,1584285466,36,47.51,42.15,37.71,12.28
409,Flin Flon,75,CA,1584285467,83,54.77,-101.86,-5.8,3.36
410,Dauriya,97,RU,1584285407,85,49.93,116.87,9.81,5.79
411,Kruisfontein,100,ZA,1584285470,85,-34.0,24.73,62.91,9.48
412,Nouadhibou,0,MR,1584285471,53,20.93,-17.03,75.2,18.34
413,Praia,20,CV,1584285472,57,14.92,-23.51,78.8,23.04
414,Dubbo,0,AU,1584285396,77,-32.25,148.62,59.0,13.87
415,Mandalgovi,0,MN,1584285474,53,45.76,106.27,28.51,13.13
416,Kavaratti,0,IN,1584285475,67,10.57,72.64,83.25,5.39
417,Lálas,40,GR,1584285476,72,37.72,21.72,64.4,9.17
418,Lichtenfels,23,DE,1584285477,29,50.15,11.06,57.0,12.75
419,Kropotkin,100,RU,1584285479,38,45.44,40.58,42.39,6.42
420,Kysyl-Syr,100,RU,1584285480,94,63.9,122.76,3.15,12.35
421,Najrān,20,SA,1584285481,19,17.49,44.13,86.0,6.93
422,Russell,75,US,1584285482,60,32.35,-85.2,73.99,8.05
423,Abhā,40,SA,1584285483,68,18.22,42.51,66.2,10.29
424,Kutum,47,SD,1584285484,10,14.2,24.67,86.85,7.43
425,Ucluelet,5,CA,1584285485,37,48.93,-125.55,33.8,6.93
426,Taoudenni,0,ML,1584285486,3,22.68,-3.98,97.11,14.47
427,Emba,100,KZ,1584285487,90,48.83,58.14,31.21,6.58
428,Chu,31,KZ,1584285488,41,43.6,73.76,54.45,11.72
429,Sørland,100,NO,1584285490,56,67.67,12.69,32.0,4.7
430,Lobatse,40,BW,1584285491,29,-25.22,25.67,78.8,5.82
431,Fairview,20,US,1584285396,42,40.81,-74.0,48.0,8.05
432,Killarney,20,IE,1584285493,75,52.05,-9.52,46.4,14.99
433,Sungai Penuh,100,ID,1584285494,98,-2.08,101.38,63.99,2.77
434,Plettenberg Bay,100,ZA,1584285403,91,-34.05,23.37,62.01,2.19
435,Ṭikāpur,0,NP,1584285496,44,28.5,81.13,66.51,5.32
436,Merke,33,KZ,1584285498,33,42.87,73.18,52.11,1.99
437,Moree,75,AU,1584285499,52,-29.47,149.85,68.0,17.22
438,Greensburg,75,US,1584285500,100,40.3,-79.54,41.0,9.17
439,Vila Franca do Campo,40,PT,1584285501,67,37.72,-25.43,62.6,10.29
440,Mumford,95,GH,1584285502,46,5.26,-0.76,93.69,9.28
441,Coahuayana Viejo,75,MX,1584285503,83,18.73,-103.68,75.2,2.06
442,Rapid Valley,90,US,1584285504,86,44.06,-103.15,34.0,17.22
443,Muyezerskiy,100,RU,1584285505,73,63.93,31.65,29.25,15.7
444,Chākuliā,74,IN,1584285506,67,22.48,86.72,76.21,3.87
445,Saint-Leu,20,RE,1584285507,74,-21.15,55.28,80.6,14.99
446,Sokoni,75,TZ,1584285509,74,-6.43,39.55,86.0,12.21
447,Upala,20,CR,1584285510,48,10.9,-85.01,87.8,25.28
448,Shimoda,98,JP,1584285511,71,34.67,138.95,45.0,1.99
449,Guaíra,0,BR,1584285512,67,-20.32,-48.31,83.07,6.58
450,Devonport,0,AU,1584285513,92,-41.17,146.35,55.0,3.0
451,Aquiraz,75,BR,1584285514,88,-3.9,-38.39,84.0,9.17
452,Kichera,100,RU,1584285515,98,55.94,110.1,18.09,0.96
453,Katherine,0,AU,1584285417,73,-14.47,132.27,77.0,5.91
454,kimparana,100,ML,1584285517,13,12.83,-4.92,103.41,3.78
455,Itaituba,75,BR,1584285519,74,-4.28,-55.98,82.4,5.82
456,Trat,84,TH,1584285520,80,12.5,102.5,78.01,1.43
457,Atambua,100,ID,1584285521,85,-9.11,124.89,74.07,3.96
458,Qeshm,75,IR,1584285439,69,26.96,56.27,77.0,16.11
459,Winnemucca,90,US,1584285523,86,40.97,-117.74,33.8,8.05
460,Kitakata,100,JP,1584285524,83,37.65,139.87,37.99,1.36
461,Peniche,20,PT,1584285525,51,39.36,-9.38,66.0,16.11
462,Guadalupe y Calvo,100,MX,1584285526,43,26.1,-106.97,58.59,3.87
463,Kulhudhuffushi,0,MV,1584285528,74,6.62,73.07,83.79,6.46
464,Gubkinskiy,63,RU,1584285529,87,64.43,76.5,-3.87,6.82
465,Milford,20,US,1584285530,36,41.22,-73.06,46.4,10.29
466,Kurumkan,69,RU,1584285531,86,54.3,110.3,21.15,4.36
467,Gigmoto,0,PH,1584285532,72,13.78,124.39,80.55,8.7
468,Balkhash,63,KZ,1584285533,66,46.84,74.98,39.87,10.92
469,Kaka,98,TM,1584285534,36,37.35,59.61,68.31,9.75
470,Bhādāsar,37,IN,1584285535,36,28.28,74.32,70.47,3.0
471,Chardara,100,KZ,1584285536,33,41.25,67.97,64.17,3.56
472,Nizwá,33,OM,1584285537,18,22.93,57.53,70.11,5.84
473,Itoman,2,JP,1584285539,51,26.12,127.67,62.6,11.41
474,Malpe,20,IN,1584285540,74,13.35,74.72,82.4,6.93
475,Portland,40,US,1584285411,55,45.52,-122.68,35.6,18.34
476,Champerico,33,GT,1584285542,70,14.3,-91.92,84.2,6.2
477,Ogbomosho,13,NG,1584285543,16,8.13,4.25,100.89,3.91
478,Fort Nelson,75,CA,1584285544,56,58.81,-122.7,12.2,3.36
479,Chumphon,66,TH,1584285545,91,10.33,98.83,74.41,3.62
480,Bezhta,96,RU,1584285546,86,42.13,46.13,40.59,0.38
481,Beloha,35,MG,1584285548,71,-25.17,45.05,78.39,16.55
482,Scarborough,99,GB,1584285549,66,54.28,-0.4,51.01,16.11
483,Deputatsky,0,RU,1584285550,93,69.3,139.9,-32.31,1.34
484,Ejido,100,VE,1584285551,77,8.55,-71.24,59.11,4.61
485,Altay,0,CN,1584285552,45,47.87,88.12,22.77,5.82
486,Novikovo,100,RU,1584285553,54,51.15,37.89,29.41,14.85
487,Matara,0,LK,1584285554,86,5.95,80.54,78.57,4.0
488,Zhigansk,100,RU,1584285556,95,66.77,123.37,-0.99,26.46
489,Esmeraldas,20,BR,1584285557,51,-19.76,-44.31,82.4,2.24
490,Garoowe,0,SO,1584285558,26,8.41,48.48,89.91,10.16
491,Armidale,21,AU,1584285559,71,-30.52,151.65,50.0,3.0
492,Mogadishu,40,SO,1584285460,66,2.04,45.34,86.0,13.87
493,Valparaíso,0,CL,1584285561,68,-33.04,-71.63,66.2,5.82
494,Kamsack,90,CA,1584285562,85,51.57,-101.9,10.4,8.05
495,Matamoros,40,MX,1584285563,53,25.53,-103.25,73.4,4.7
496,Chulym,100,RU,1584285564,96,55.1,80.96,33.75,14.58
497,Douglas,90,US,1584285403,86,41.3,-96.17,33.01,5.82
498,Quang Ngai,100,VN,1584285567,89,15.12,108.8,75.87,1.25
499,Nacala,48,MZ,1584285568,85,-14.54,40.67,78.91,5.82
500,Vestmannaeyjar,75,IS,1584285569,64,63.44,-20.27,35.6,17.22
501,Broken Hill,0,AU,1584285570,39,-31.95,141.43,62.6,8.05
502,Guerrero Negro,0,MX,1584285571,75,27.98,-114.06,59.49,12.75
503,Sinnamary,66,GF,1584285572,72,5.38,-52.95,80.37,10.8
504,Ngama,61,TD,1584285573,5,11.78,17.17,99.09,7.94
505,Abu Kamal,57,SY,1584285574,54,34.45,40.92,66.31,6.87
506,Ushumun,91,RU,1584285576,91,52.78,126.53,7.81,2.24
507,Kumul,26,CN,1584285577,27,42.8,93.45,41.11,3.13
508,Rulenge,100,TZ,1584285578,89,-2.72,30.63,72.27,2.91
509,Tshela,6,CD,1584285579,82,-4.98,12.93,81.61,8.43
510,Esmeralda,75,CU,1584285580,54,21.85,-78.12,80.6,17.22
511,Dunn,1,US,1584285581,79,44.95,-91.88,32.0,8.05
512,College,90,US,1584285305,92,64.86,-147.8,24.8,0.74
513,Piacenza,40,IT,1584285583,50,45.05,9.7,59.0,4.7
514,Walvis Bay,10,NA,1584285584,57,-22.96,14.51,75.2,9.17
515,Alexandria,40,EG,1584285585,47,31.22,29.96,77.0,5.82
516,Severnyy,90,RU,1584285587,73,50.68,36.55,26.6,15.66
517,Ratnagiri,0,IN,1584285588,58,16.98,73.3,74.07,2.93
518,Solnechnyy,66,RU,1584285589,88,50.72,136.63,6.21,4.41
519,Mitú,48,CO,1584285590,52,1.2,-70.17,92.41,1.68
520,Paignton,100,GB,1584285591,9,50.44,-3.57,50.0,3.87
521,San Cristobal,40,VE,1584285592,69,7.77,-72.22,80.6,11.41
522,Santa Ana,75,US,1584285593,87,33.75,-117.87,57.2,3.56
523,Āmlāgora,100,IN,1584285594,67,22.83,87.33,74.97,4.94
524,Adrar,0,MR,1584285595,6,20.5,-10.07,89.55,8.41
525,Sur,99,OM,1584285428,60,22.57,59.53,71.91,11.92
526,Pentecoste,100,BR,1584285394,72,-3.79,-39.27,84.0,8.99
527,Akdepe,84,TM,1584285599,28,42.06,59.38,71.6,11.41
528,Skibotn,40,NO,1584285600,79,69.39,20.27,28.4,3.36
529,Tigre,100,AR,1584285601,72,-34.43,-58.58,71.01,5.82
530,Hofn,20,IS,1584285602,68,64.25,-15.21,28.4,4.7
531,Solano,90,US,1584285603,87,38.23,-121.95,50.0,10.29
532,Tatarsk,100,RU,1584285604,92,55.22,75.98,34.47,18.32
533,Falun,100,SE,1584285605,86,60.6,15.63,42.01,19.46
534,Bulgan,100,MN,1584285607,70,48.81,103.53,26.37,8.23
535,Sangar,91,RU,1584285608,83,63.92,127.47,-5.13,12.57
536,Dillon,90,US,1584285490,87,34.42,-79.37,64.0,10.29
537,Alcúdia,0,ES,1584285354,68,39.85,3.12,66.2,11.41
538,Kattivākkam,40,IN,1584285611,78,13.22,80.32,84.0,9.17
539,Roxana,48,CR,1584285612,56,10.28,-83.75,78.8,18.34
540,Saint-Joseph,20,RE,1584285386,74,-21.37,55.62,80.6,14.99
541,Maceió,90,BR,1584285614,88,-9.67,-35.74,78.8,8.05
542,Vostok,70,RU,1584285615,96,46.49,135.88,3.51,3.22
543,Shakawe,95,BW,1584285617,44,-18.37,21.85,86.11,3.27
544,Wanning,100,CN,1584285618,89,18.8,110.4,73.17,8.63
545,Lodja,100,CD,1584285619,68,-3.48,23.43,84.15,4.18
546,Caucayá,100,CO,1584285620,93,-0.19,-74.78,75.15,3.51
547,Ocosingo,20,MX,1584285621,78,17.07,-92.25,77.0,4.7
548,Lander,1,US,1584285622,82,42.83,-108.73,35.01,4.21
549,Juneau,20,US,1584285623,92,58.3,-134.42,28.99,4.03
550,Ambunti,100,PG,1584285624,99,-4.24,142.84,73.35,1.3
551,Hirara,0,JP,1584285625,54,24.8,125.28,63.45,14.03
552,Novopskov,100,UA,1584285626,38,49.55,39.09,31.41,15.61
553,Sindor,0,RU,1584285627,88,62.86,51.89,10.35,3.31
554,Santiago,0,CL,1584285609,38,-33.46,-70.65,77.0,6.17
555,Skudai,20,MY,1584285630,88,1.53,103.67,84.2,5.82
556,The Valley,20,AI,1584285433,57,18.22,-63.06,82.4,10.29
